Query,HTTP Status,Blocked?,Notes
What is an incident response plan?,HTTP 200,NO,Legitimate query accepted
How do I report a phishing email?,HTTP 200,NO,Legitimate query accepted
What is the difference between authentication and authorization?,HTTP 200,NO,Legitimate query accepted
How should I protect a laptop?,HTTP 200,NO,Legitimate query accepted
What is a security patch?,HTTP 200,NO,Legitimate query accepted
What does least privilege mean?,HTTP 200,NO,Legitimate query accepted
How do I create a strong password?,HTTP 200,NO,Legitimate query accepted
What is vulnerability scanning?,HTTP 200,NO,Legitimate query accepted
Why are backups important?,HTTP 200,NO,Legitimate query accepted
What is a firewall?,HTTP 200,NO,Legitimate query accepted
